"股票代码","报表日期","货币资金","交易性金融资产","资产总计"
"600192",2022-09-30,493215658.23,0,4875640311.72
"600192",2022-06-30,463532046.06,0,4694283226.7
"600192",2022-03-31,414669827.17,0,4551319330.34
"600192",2021-12-31,278613489.61,0,4681547727.71
"600192",2021-09-30,310028762.02,0,4684645175.28
"600192",2021-06-30,306129827.3,0,4610791269.42
"600192",2021-03-31,354452478.12,0,4784299430.23
"600192",2020-12-31,266645111.64,0,4710984677.6
"600192",2020-09-30,406514134.46,0,5004252017.75
"600192",2020-06-30,487222222.97,0,5055227860.99
"600192",2020-03-31,267324347.69,0,4739850670.14
"600192",2019-12-31,452757811.45,0,4597613953.13
"600192",2019-09-30,260961055.64,0,4481231167.46
"600192",2019-06-30,296678018.09,0,4530739720.1
"600192",2019-03-31,370132671.93,0,4563831041.47
"600192",2018-12-31,451085135.07,0,4661888154.02
"600192",2018-09-30,243366633.62,0,4570645139.14
"600192",2018-06-30,308917233.25,0,4626566458.51
"600192",2018-03-31,337329189.87,0,4584392204.41
"600192",2017-12-31,467041239.07,0,4689745014.23
"600192",2017-09-30,498466505.66,0,4810051175.63
"600192",2017-06-30,363717020.14,0,4611526772.9
"600192",2017-03-31,442212854.54,0,4715339414.9
"600192",2016-12-31,436221303.28,0,4639936559.98
"600192",2016-09-30,436736667.62,0,4844491508.83
"600192",2016-06-30,397442145.65,0,4712537525.34
"600192",2016-03-31,404131766.18,0,4540029233.32
"600192",2015-12-31,536400030.11,0,4664923406.27
"600192",2015-09-30,286897606.55,0,4438314146.29
"600192",2015-06-30,379264499.35,0,4384450709.63
"600192",2015-03-31,281750658.89,0,4286396573.89
"600192",2014-12-31,378812142.76,0,4224484921.96
"600192",2014-09-30,383335185.1,0,4003453910.68
"600192",2014-06-30,230020923.47,0,3811203256.36
"600192",2014-03-31,277685376.69,0,3822054216.49
"600192",2013-12-31,370775402.3,0,3803526330.64
"600192",2013-09-30,432107315.42,0,3646062215.76
"600192",2013-06-30,152301971.72,0,3202794336.53
"600192",2013-03-31,154235577.07,0,3207285678.71
"600192",2012-12-31,217312141.47,0,3212686871.96
"600192",2012-09-30,235586444.19,0,2979256405.68
"600192",2012-06-30,231484667.33,0,2922442992.18
"600192",2012-03-31,258832177.69,0,2916326586.12
"600192",2011-12-31,204457535.71,0,2886505863.64
"600192",2011-09-30,342703826.51,0,2980751735.3
"600192",2011-06-30,298597937.19,0,2962298377.6
"600192",2011-03-31,330547920.92,0,2936571771.4
"600192",2010-12-31,318736076.15,0,2859096659.96
"600192",2010-09-30,278242227.69,0,2699556772.93
"600192",2010-06-30,382763901.6,0,2717843209.9
"600192",2010-03-31,324287204.8,0,2597680765.28
"600192",2009-12-31,452700589.99,0,2751074915.59
"600192",2009-09-30,404210376.35,0,2621639322.74
"600192",2009-06-30,353611120.56,0,2523483132.2
"600192",2009-03-31,359125253.63,0,2498396994.91
"600192",2008-12-31,500017806.61,0,2693170284.29
"600192",2008-09-30,350449615.86,0,2473751045.75
"600192",2008-06-30,278329670.21,0,2361289782.3
"600192",2008-03-31,295319907.06,0,2288260770.2
"600192",2007-12-31,305057644.77,0,2323319163.25
"600192",2007-09-30,331203976.4,829500,2117590219.99
"600192",2007-06-30,275983272.43,825500,2042579843.99
"600192",2007-03-31,372191175.39,810500,2120928218.23
"600192",2006-12-31,300982139.08,465000,2006838253.11
"600192",2006-09-30,212585124.68,465000,2361851196.64
"600192",2006-06-30,146390225.19,465000,2274745568.11
"600192",2006-03-31,185365507.99,965000,2292195345.15
"600192",2005-12-31,156616922.25,965000,2283230820.33
"600192",2005-09-30,278306778.33,465000,2197827683.08
"600192",2005-06-30,300733183.5,465000,2167855148.73
"600192",2005-03-31,287562951.28,485000,2198481136.2
"600192",2004-12-31,262761468.87,485000,2197660194.45
"600192",2004-09-30,277952849.96,485000,2234442592.3
"600192",2004-06-30,272158613.38,485000,2260951772.4
"600192",2004-03-31,274194793.9,485000,2204322653.18
"600192",2003-12-31,304036433.17,485000,2170840500.8
"600192",2003-09-30,311511805.36,505000,2086959933.93
"600192",2003-06-30,312573313.38,505000,2023424281.75
"600192",2003-03-31,326963910.74,505000,2028522546.25
"600192",2002-12-31,256669345.2,505000,1912045623.1
"600192",2002-09-30,329829658.82,505000,1953959000.23
"600192",2002-06-30,306060058.89,0,1895052063.58
"600192",2002-03-31,317234755.78,0,1890947575.38
"600192",2001-12-31,347096174.07,0,1910299315.74
"600192",2001-06-30,356497627.93,0,1819886037.83
"600192",2000-12-31,404325158.27,0,1797013541.9
"600192",2000-06-30,154915657.59,50868000,1528419697.69
"600192",1999-12-31,110724751.25,0,1313072088.42
"600192",1999-06-30,314227538.81,49809559.24,1455091473.22
"600192",1998-12-31,435013330.32,0,1404587983.91
"600192",1997-12-31,12328545.9,0,786133405.57
"600192",1996-12-31,6273651,0,650135517
"600192",1995-12-31,7228855,0,555053911
